[DEBUG] [2021-01-21 13:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5f29271b25cf46a3968667a7c38478f7, msgType : 19
[DEBUG] [2021-01-21 13:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3435e3693c9b442894920be2bae84e11, msgType : 19
[DEBUG] [2021-01-21 13:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e2cdd41e7a7248f396e11358c204769a, msgType : 19
[DEBUG] [2021-01-21 13:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 562ed2a93e00413da255e3a22ffead99, msgType : 19
[DEBUG] [2021-01-21 13:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b076cbf1a911455ebd31caeebeeba1b8, msgType : 18
[DEBUG] [2021-01-21 13:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 42226480a60945179beba28a1fd9350e, msgType : 18
[DEBUG] [2021-01-21 13:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 581397c1299f4ab184dd2f9055c5c746, msgType : 19
[DEBUG] [2021-01-21 13:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : beda5a8c436c4aaa809ee5b24f5d5b9e, msgType : 19
[DEBUG] [2021-01-21 13:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 886b41c8f93b48ef9610437ef42a6616, msgType : 19
[DEBUG] [2021-01-21 13:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e01200a637f8424c86fbad4c16128f7f, msgType : 19
[DEBUG] [2021-01-21 13:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 580127ec62d74076a78bbd4e8afcac3d, msgType : 19
[DEBUG] [2021-01-21 13:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 79a054cb85784ac9a5b892951f753250, msgType : 19
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5b1bb564ae0a4ccf8814d6985901898d, msgType : 19
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0e4066fe43aa4bcbb836f586d98aabf7, msgType : 19
[INFO] [2021-01-21 13:00:11] ContractABIDefinition.addFunction(84) |  name: enc, methodId: 0xcdfd6e1e, methodSignature: enc(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@a811e68b
[INFO] [2021-01-21 13:00:11] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@a811e68b
[INFO] [2021-01-21 13:00:11] ContractABIDefinition.addFunction(84) |  name: CallPaillier, methodId: 0xe49f13a8, methodSignature: CallPaillier(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7a68cfc7
[INFO] [2021-01-21 13:00:11] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7a68cfc7
[INFO] [2021-01-21 13:00:11] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@2ce45a7b 
[INFO] [2021-01-21 13:00:11] ABIObjectFactory.createObject(32) |  name: enc
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 026dc8305e0a4c2998d007d72f44d178, msgType : 18
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-21 13:00:11] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 9, groupId: 1
[DEBUG] [2021-01-21 13:00:11] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 9, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 026dc8305e0a4c2998d007d72f44d178, msgType : 4096
[DEBUG] [2021-01-21 13:00:11] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 9, groupId: 1
[DEBUG] [2021-01-21 13:00:11] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-21 13:00:11] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 9, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-01-21 13:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4453e9a0a168454fbd610414b7d7289b, msgType : 19
[DEBUG] [2021-01-21 13:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d060ff76e827442888257c4630db1dc0, msgType : 19
[DEBUG] [2021-01-21 13:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a3f08f2eb5024fb1809743968d681430, msgType : 19
[DEBUG] [2021-01-21 13:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0f20e520c106423f873a7495ca55149f, msgType : 19
[DEBUG] [2021-01-21 13:00:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f52463b4830d4be796131664f89ca7ce, msgType : 19
[DEBUG] [2021-01-21 13:00:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e0b3bf8d008f4726b87789a132d66092, msgType : 19
[DEBUG] [2021-01-21 13:00:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 314d323b6e36441eb5c4df71061405bc, msgType : 19
[DEBUG] [2021-01-21 13:00:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0601cae22cef4400a93be0a6f8e958d4, msgType : 19
[DEBUG] [2021-01-21 13:00:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ad6741fb5d6a4b9bb39ff1a82fcc3282, msgType : 19
[DEBUG] [2021-01-21 13:00:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4301531f08024f9490d1f722280ad783, msgType : 19
[DEBUG] [2021-01-21 13:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7942a2cf474d41ff97c77e5a712d0620, msgType : 19
[DEBUG] [2021-01-21 13:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c65f484c0a924764b6a1bfd740371d7a, msgType : 19
[DEBUG] [2021-01-21 13:00:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7802669defe04f9a84773fb5266807a7, msgType : 19
